date,entity,Id,hours,precio_bolsa,datetime
2019-01-01,Sistema,Sistema,0,318.4231,2019-01-01 00:00:00
2019-01-01,Sistema,Sistema,1,318.4231,2019-01-01 01:00:00
2019-01-01,Sistema,Sistema,2,318.4231,2019-01-01 02:00:00
2019-01-01,Sistema,Sistema,3,318.4231,2019-01-01 03:00:00
2019-01-01,Sistema,Sistema,4,308.9231,2019-01-01 04:00:00
2019-01-01,Sistema,Sistema,5,218.9231,2019-01-01 05:00:00
2019-01-01,Sistema,Sistema,6,153.9231,2019-01-01 06:00:00
2019-01-01,Sistema,Sistema,7,153.9231,2019-01-01 07:00:00
2019-01-01,Sistema,Sistema,8,195.1311,2019-01-01 08:00:00
2019-01-01,Sistema,Sistema,9,293.9231,2019-01-01 09:00:00
2019-01-01,Sistema,Sistema,10,318.4231,2019-01-01 10:00:00
2019-01-01,Sistema,Sistema,11,318.4231,2019-01-01 11:00:00
2019-01-01,Sistema,Sistema,12,318.4231,2019-01-01 12:00:00
2019-01-01,Sistema,Sistema,13,318.4231,2019-01-01 13:00:00
2019-01-01,Sistema,Sistema,14,318.4231,2019-01-01 14:00:00
2019-01-01,Sistema,Sistema,15,318.4231,2019-01-01 15:00:00
2019-01-01,Sistema,Sistema,16,318.4231,2019-01-01 16:00:00
2019-01-01,Sistema,Sistema,17,318.4231,2019-01-01 17:00:00
2019-01-01,Sistema,Sistema,18,318.4231,2019-01-01 18:00:00
2019-01-01,Sistema,Sistema,19,333.9231,2019-01-01 19:00:00
2019-01-01,Sistema,Sistema,20,333.9231,2019-01-01 20:00:00
2019-01-01,Sistema,Sistema,21,318.4231,2019-01-01 21:00:00
2019-01-01,Sistema,Sistema,22,318.4231,2019-01-01 22:00:00
2019-01-01,Sistema,Sistema,23,318.4231,2019-01-01 23:00:00
2019-01-02,Sistema,Sistema,0,335.52288,2019-01-02 00:00:00
2019-01-02,Sistema,Sistema,1,323.02288,2019-01-02 01:00:00
2019-01-02,Sistema,Sistema,2,295.50888,2019-01-02 02:00:00
2019-01-02,Sistema,Sistema,3,262.02288,2019-01-02 03:00:00
2019-01-02,Sistema,Sistema,4,262.02288,2019-01-02 04:00:00
2019-01-02,Sistema,Sistema,5,292.23188,2019-01-02 05:00:00
2019-01-02,Sistema,Sistema,6,292.23188,2019-01-02 06:00:00
2019-01-02,Sistema,Sistema,7,335.52288,2019-01-02 07:00:00
2019-01-02,Sistema,Sistema,8,335.52288,2019-01-02 08:00:00
2019-01-02,Sistema,Sistema,9,335.52288,2019-01-02 09:00:00
2019-01-02,Sistema,Sistema,10,348.02288,2019-01-02 10:00:00
2019-01-02,Sistema,Sistema,11,348.02288,2019-01-02 11:00:00
2019-01-02,Sistema,Sistema,12,348.02288,2019-01-02 12:00:00
2019-01-02,Sistema,Sistema,13,348.02288,2019-01-02 13:00:00
2019-01-02,Sistema,Sistema,14,348.02288,2019-01-02 14:00:00
2019-01-02,Sistema,Sistema,15,348.02288,2019-01-02 15:00:00
2019-01-02,Sistema,Sistema,16,348.02288,2019-01-02 16:00:00
2019-01-02,Sistema,Sistema,17,348.02288,2019-01-02 17:00:00
2019-01-02,Sistema,Sistema,18,372.02288,2019-01-02 18:00:00
2019-01-02,Sistema,Sistema,19,393.02288,2019-01-02 19:00:00
2019-01-02,Sistema,Sistema,20,393.02288,2019-01-02 20:00:00
2019-01-02,Sistema,Sistema,21,353.02288,2019-01-02 21:00:00
2019-01-02,Sistema,Sistema,22,348.02288,2019-01-02 22:00:00
2019-01-02,Sistema,Sistema,23,348.02288,2019-01-02 23:00:00
2019-01-03,Sistema,Sistema,0,329.34796,2019-01-03 00:00:00
2019-01-03,Sistema,Sistema,1,329.34796,2019-01-03 01:00:00
2019-01-03,Sistema,Sistema,2,329.34796,2019-01-03 02:00:00
2019-01-03,Sistema,Sistema,3,329.34796,2019-01-03 03:00:00
2019-01-03,Sistema,Sistema,4,329.34796,2019-01-03 04:00:00
2019-01-03,Sistema,Sistema,5,329.34796,2019-01-03 05:00:00
2019-01-03,Sistema,Sistema,6,329.34796,2019-01-03 06:00:00
2019-01-03,Sistema,Sistema,7,341.34796,2019-01-03 07:00:00
2019-01-03,Sistema,Sistema,8,376.34796,2019-01-03 08:00:00
2019-01-03,Sistema,Sistema,9,381.34796,2019-01-03 09:00:00
2019-01-03,Sistema,Sistema,10,381.34796,2019-01-03 10:00:00
2019-01-03,Sistema,Sistema,11,390.34796,2019-01-03 11:00:00
2019-01-03,Sistema,Sistema,12,401.34796,2019-01-03 12:00:00
2019-01-03,Sistema,Sistema,13,401.34796,2019-01-03 13:00:00
2019-01-03,Sistema,Sistema,14,401.34796,2019-01-03 14:00:00
2019-01-03,Sistema,Sistema,15,386.34796,2019-01-03 15:00:00
2019-01-03,Sistema,Sistema,16,381.34796,2019-01-03 16:00:00
2019-01-03,Sistema,Sistema,17,381.34796,2019-01-03 17:00:00
2019-01-03,Sistema,Sistema,18,390.34796,2019-01-03 18:00:00
2019-01-03,Sistema,Sistema,19,451.34796,2019-01-03 19:00:00
2019-01-03,Sistema,Sistema,20,401.34796,2019-01-03 20:00:00
2019-01-03,Sistema,Sistema,21,381.34796,2019-01-03 21:00:00
2019-01-03,Sistema,Sistema,22,381.34796,2019-01-03 22:00:00
2019-01-03,Sistema,Sistema,23,381.34796,2019-01-03 23:00:00
2019-01-04,Sistema,Sistema,0,378.15036,2019-01-04 00:00:00
2019-01-04,Sistema,Sistema,1,378.15036,2019-01-04 01:00:00
2019-01-04,Sistema,Sistema,2,375.15036,2019-01-04 02:00:00
2019-01-04,Sistema,Sistema,3,350.15036,2019-01-04 03:00:00
2019-01-04,Sistema,Sistema,4,350.15036,2019-01-04 04:00:00
2019-01-04,Sistema,Sistema,5,378.15036,2019-01-04 05:00:00
